configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,true,true,false,false,true,true,false,true,true,20,9,3115322,42.480,0.468,4.458
10,true,true,false,true,false,true,false,false,true,40,9,3545312,49.212,0.500,5.564
100,true,true,false,false,true,false,true,true,false,40,1,4259350,28.524,0.388,2.727
1000,true,true,false,true,false,true,true,true,false,40,9,4809517,44.448,0.420,4.229
1001,true,false,false,false,true,false,false,true,false,60,5,3152693,34.228,0.524,4.123
1002,true,false,false,true,false,true,false,false,false,60,5,3578470,40.008,0.540,4.896
1003,true,false,false,false,true,false,false,true,false,60,1,3171209,28.508,0.380,3.738
1004,true,false,false,true,false,true,false,false,false,60,1,3596232,28.916,0.508,3.902
1005,true,true,false,false,true,true,false,false,true,60,1,3165441,27.116,0.488,3.715
1006,true,true,false,false,true,true,false,false,true,60,9,3126601,50.088,0.476,5.788
1007,true,true,false,false,true,true,false,false,true,60,5,3130974,38.100,0.452,4.561
1008,true,false,false,false,true,false,false,true,false,60,9,3149124,41.884,0.584,4.704
1009,true,false,false,true,true,false,false,false,true,20,1,3620772,27.520,0.372,3.141
101,true,false,false,false,false,false,true,false,false,40,5,4205066,41.236,0.464,4.250
1010,true,false,false,true,false,true,false,false,false,60,9,3571769,51.840,0.604,6.124
1011,true,true,false,true,true,true,false,false,false,20,1,3572968,26.024,0.404,3.161
1012,true,false,false,true,true,true,true,false,false,60,5,4881754,42.568,0.332,4.358
1013,true,false,false,true,true,true,true,true,false,40,1,4919424,30.712,0.364,2.847
1014,true,false,false,true,true,true,true,false,false,60,1,4919424,30.660,0.328,2.816
1015,true,true,false,true,true,true,false,false,false,20,9,3532260,48.676,0.508,5.428
1016,true,true,false,true,true,true,false,false,false,20,5,3539253,36.688,0.448,4.086
1017,true,true,false,true,false,false,false,true,false,60,1,3539370,26.364,0.532,3.722
1018,true,false,false,true,true,true,true,true,false,40,9,4908061,46.864,0.388,4.426
1019,true,true,false,true,false,true,true,true,false,60,1,4827804,28.328,0.356,2.724
102,true,true,false,true,false,true,true,false,false,40,1,4827804,28.196,0.400,2.677
1020,true,false,false,true,true,true,true,true,false,40,5,4906242,37.520,0.436,3.544
1021,true,false,false,true,true,true,true,false,false,60,9,4878410,55.276,0.552,6.011
1022,true,true,false,true,false,true,true,true,false,60,5,4818076,35.172,0.408,3.327
1023,true,false,false,true,false,true,false,true,false,60,1,3596232,28.676,0.516,3.864
1024,true,true,false,true,false,true,true,true,false,60,9,4809517,44.308,0.516,4.249
1025,true,false,false,true,false,false,true,false,true,20,9,4880464,52.696,0.492,5.628
1026,true,true,false,false,true,true,false,true,false,60,1,3142869,27.184,0.476,3.789
1027,true,false,false,true,false,false,true,false,true,20,1,4921320,30.580,0.332,2.830
1028,true,false,false,true,false,false,true,false,true,20,5,4890630,41.300,0.488,4.232
1029,true,true,false,false,true,true,false,true,false,60,9,3119676,43.024,0.412,4.564
103,true,true,false,false,true,false,true,true,false,40,5,4233273,34.244,0.408,3.242
1030,true,false,false,false,true,false,false,false,true,20,9,3133250,48.824,0.508,5.484
1031,true,true,false,true,false,false,false,true,false,60,5,3523418,32.140,0.416,3.938
1032,true,true,false,true,true,true,false,true,true,40,9,3614882,42.320,0.420,4.380
1033,true,false,false,false,true,false,false,false,true,20,5,3136177,37.956,0.508,4.281
1034,true,true,false,false,true,true,false,true,false,60,5,3120886,34.016,0.500,4.076
1035,true,true,false,true,false,false,false,true,false,60,9,3517239,39.792,0.480,4.588
1036,true,false,false,false,true,false,false,false,true,20,1,3162368,27.744,0.452,3.176
1037,true,false,false,true,false,true,false,true,false,60,9,3591610,44.896,0.492,4.909
1038,true,true,false,true,true,true,false,false,true,60,5,3599361,37.604,0.576,4.519
1039,true,true,false,true,true,true,false,true,true,40,1,3630937,26.708,0.448,3.592
104,true,false,false,false,false,false,true,false,false,40,1,4231791,30.588,0.384,2.904
1040,true,false,false,true,false,true,false,true,false,60,5,3599634,35.676,0.544,4.227
